v2	Ix(U1:DRAIN)	Ix(U5:VDD)	Ix(U6:VDD)	Ix(U7:VDD)	Ix(U8:VDD)	Ix(U9:VDD)
1.590000000000001e+000	8.315958e-006	-1.748986e-005	-8.315876e-006	-3.474930e-005	-6.698293e-005	-1.257575e-004
1.600000000000001e+000	8.505502e-006	-1.786200e-005	-8.505419e-006	-3.545673e-005	-6.829172e-005	-1.281042e-004
1.610000000000001e+000	8.697088e-006	-1.823763e-005	-8.697004e-006	-3.617018e-005	-6.961034e-005	-1.304657e-004
1.620000000000001e+000	8.890708e-006	-1.861673e-005	-8.890624e-006	-3.688958e-005	-7.093869e-005	-1.328421e-004
1.630000000000001e+000	9.086358e-006	-1.899930e-005	-9.086272e-006	-3.761491e-005	-7.227669e-005	-1.352331e-004
1.640000000000001e+000	9.284030e-006	-1.938530e-005	-9.283944e-006	-3.834614e-005	-7.362426e-005	-1.376384e-004
1.650000000000001e+000	9.483720e-006	-1.977474e-005	-9.483632e-006	-3.908322e-005	-7.498131e-005	-1.400581e-004
1.660000000000001e+000	9.685419e-006	-2.016760e-005	-9.685332e-006	-3.982613e-005	-7.634777e-005	-1.424918e-004
1.670000000000001e+000	9.889123e-006	-2.056385e-005	-9.889035e-006	-4.057482e-005	-7.772355e-005	-1.449395e-004
1.680000000000001e+000	1.009483e-005	-2.096349e-005	-1.009474e-005	-4.132925e-005	-7.910856e-005	-1.474009e-004
1.690000000000001e+000	1.030252e-005	-2.136651e-005	-1.030243e-005	-4.208941e-005	-8.050274e-005	-1.498760e-004
1.700000000000001e+000	1.051220e-005	-2.177288e-005	-1.051211e-005	-4.285524e-005	-8.190599e-005	-1.523644e-004
1.710000000000001e+000	1.072386e-005	-2.218259e-005	-1.072377e-005	-4.362671e-005	-8.331825e-005	-1.548662e-004
1.720000000000001e+000	1.093749e-005	-2.259563e-005	-1.093740e-005	-4.440379e-005	-8.473942e-005	-1.573812e-004
1.730000000000001e+000	1.115309e-005	-2.301198e-005	-1.115300e-005	-4.518644e-005	-8.616943e-005	-1.599091e-004
1.740000000000001e+000	1.137066e-005	-2.343164e-005	-1.137056e-005	-4.597463e-005	-8.760820e-005	-1.624498e-004
1.750000000000001e+000	1.159017e-005	-2.385457e-005	-1.159008e-005	-4.676832e-005	-8.905566e-005	-1.650032e-004
